ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
10.19,100 m²,3 + 1,21 Yaşında,İstanbul,"Fatih, Akşemsettin Mahallesi","4.200.000
TL"
10.20,95 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.535.000
TL"
10.21,250 m²,6 + 1,28 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","5.400.000
TL"
10.22,100 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Silivrikapı Mahallesi","2.800.000
TL"
10.23,135 m²,3 + 1,50 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","4.900.000
TL"
10.24,130 m²,3 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","3.500.000
TL"
11.1,80 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","2.075.000
TL"
11.2,85 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.550.000
TL"
11.3,160 m²,3 + 1,45 Yaşında,İstanbul,"Fatih, Karagümrük Mahallesi","6.500.000
TL"
11.4,70 m²,1 + 1,40 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.600.000
TL"
11.5,80 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.100.000
TL"
11.6,95 m²,3 + 1,31 Yaşında,İstanbul,"Fatih, Yavuz Sultan Selim Mahallesi","3.100.000
TL"
11.7,80 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","1.500.000
TL"
11.8,145 m²,4 + 1,43 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","6.250.000
TL"
11.9,85 m²,2 + 1,Sıfır Bina,İstanbul,"Fatih, Atikali Mahallesi","5.000.000
TL"
11.10,110 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","3.300.000
TL"
11.11,77 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.500.000
TL"
11.12,140 m²,3 + 1,7 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","5.300.000
TL"
11.13,150 m²,4 + 1,40 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","7.299.000
TL"
11.14,130 m²,3 + 1,50 Yaşında,İstanbul,"Fatih, Aksaray Mahallesi","3.650.000
TL"
11.15,135 m²,3 + 1,17 Yaşında,İstanbul,"Fatih, Silivrikapı Mahallesi","4.800.000
TL"
11.16,75 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","1.150.000
TL"
11.17,90 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","3.200.000
TL"
11.18,90 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Silivrikapı Mahallesi","2.750.000
TL"
11.19,130 m²,4 + 1,40 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","5.500.000
TL"
11.20,110 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","3.200.000
TL"
11.21,80 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Nişanca Mahallesi","2.300.000
TL"
11.22,90 m²,1 + 1,21 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.500.000
TL"
11.23,85 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","2.250.000
TL"
11.24,115 m²,3 + 1,38 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","4.450.000
TL"
12.1,75 m²,1 + 1,40 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","1.675.000
TL"
12.2,110 m²,3 + 1,40 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","3.900.000
TL"
12.3,145 m²,3 + 1,26 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","5.200.000
TL"
12.4,85 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.350.000
TL"
12.5,201 m²,9 + 1,70 Yaşında,İstanbul,"Fatih, Kalenderhane Mahallesi","9.990.000
TL"
12.6,70 m²,1 + 1,21 Yaşında,İstanbul,"Fatih, Ayvansaray Mahallesi","1.390.000
TL"
12.7,65 m²,1 + 1,30 Yaşında,İstanbul,"Fatih, Atikali Mahallesi","1.200.000
TL"
12.8,65 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Karagümrük Mahallesi","2.500.000
TL"
12.9,163 m²,3 + 1,31 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","7.700.000
TL"
12.10,135 m²,3 + 1,30 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","4.750.000
TL"
12.11,85 m²,1 + 1,20 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","1.600.000
TL"
12.12,185 m²,4 + 2,75 Yaşında,İstanbul,"Fatih, Balat Mahallesi","12.000.000
TL"
12.13,90 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","2.350.000
TL"
12.14,120 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Akşemsettin Mahallesi","4.900.000
TL"
12.15,85 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.900.000
TL"
12.16,374 m²,7 + 1,32 Yaşında,İstanbul,"Fatih, Hoca Gıyasettin Mahallesi","15.000.000
TL"
12.17,70 m²,1 + 1,30 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","1.100.000
TL"
12.18,100 m²,3 + 1,40 Yaşında,İstanbul,"Fatih, Silivrikapı Mahallesi","2.600.000
TL"
12.19,80 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Saraç İshak Mahallesi","2.500.000
TL"
12.20,170 m²,3 + 1,50 Yaşında,İstanbul,"Fatih, Balat Mahallesi","8.750.000
TL"
12.21,70 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","1.480.000
TL"
12.22,130 m²,3 + 1,50 Yaşında,İstanbul,"Fatih, Topkapı Mahallesi","6.200.000
TL"
12.23,85 m²,2 + 1,Sıfır Bina,İstanbul,"Fatih, Topkapı Mahallesi","6.500.000
TL"
12.24,85 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Zeyrek Mahallesi","2.200.000
TL"
13.1,85 m²,2 + 1,38 Yaşında,İstanbul,"Fatih, Nişanca Mahallesi","2.000.000
TL"
13.2,105 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Atikali Mahallesi","1.600.000
TL"
13.3,110 m²,3 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.550.000
TL"
13.4,85 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","2.050.000
TL"
13.5,130 m²,3 + 1,28 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","6.800.000
TL"
13.6,70 m²,2 + 1,25 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","1.750.000
TL"
13.7,70 m²,2 + 1,10 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.100.000
TL"
13.8,80 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.090.000
TL"
13.9,90 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","3.000.000
TL"
13.10,110 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Karagümrük Mahallesi","3.750.000
TL"
13.11,65 m²,1 + 1,31 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","1.650.000
TL"
13.12,125 m²,3 + 1,36 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.800.000
TL"
13.13,90 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.750.000
TL"
13.14,90 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","3.000.000
TL"
13.15,50 m²,1 + 1,45 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","1.500.000
TL"
13.16,95 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","3.850.000
TL"
13.17,75 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","2.600.000
TL"
13.18,75 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.100.000
TL"
13.19,99 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Aksaray Mahallesi","3.500.000
TL"
13.20,160 m²,3 + 1,25 Yaşında,İstanbul,"Fatih, Akşemsettin Mahallesi","8.750.000
TL"
13.21,90 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","3.200.000
TL"
13.22,80 m²,2 + 1,32 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","1.900.000
TL"
13.23,85 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Karagümrük Mahallesi","2.150.000
TL"
13.24,125 m²,3 + 1,6 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","4.990.000
TL"
14.1,75 m²,2 + 1,50 Yaşında,İstanbul,"Fatih, Akşemsettin Mahallesi","3.390.000
TL"
14.2,90 m²,2 + 1,50 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","2.500.000
TL"
14.3,97 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.250.000
TL"
14.4,110 m²,3 + 1,31 Yaşında,İstanbul,"Fatih, Silivrikapı Mahallesi","3.200.000
TL"
14.5,135 m²,3 + 1,42 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","4.500.000
TL"
14.6,250 m²,5 + 1,31 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","7.500.000
TL"
14.7,65 m²,1 + 1,17 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","1.650.000
TL"
14.8,240 m²,6 + 1,15 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","19.500.000
TL"
14.9,90 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","2.650.000
TL"
14.10,70 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","1.325.000
TL"
14.11,230 m²,3 + 3,Sıfır Bina,İstanbul,"Fatih, Ayvansaray Mahallesi","26.000.000
TL"
14.12,130 m²,3 + 1,31 Yaşında,İstanbul,"Fatih, Cerrahpaşa Mahallesi","5.000.000
TL"
14.13,85 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","2.550.000
TL"
14.14,85 m²,2 + 2,42 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.900.000
TL"
14.15,60 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","1.600.000
TL"
14.16,90 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","2.500.000
TL"
14.17,130 m²,3 + 1,20 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","5.000.000
TL"
14.18,140 m²,3 + 1,30 Yaşında,İstanbul,"Fatih, Balat Mahallesi","7.500.000
TL"
14.19,80 m²,2 + 1,32 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.900.000
TL"
14.20,110 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Silivrikapı Mahallesi","2.900.000
TL"
14.21,100 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Aksaray Mahallesi","3.000.000
TL"
14.22,70 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Küçük Ayasofya Mahallesi","4.250.000
TL"
14.23,110 m²,3 + 1,30 Yaşında,İstanbul,"Fatih, Balat Mahallesi","14.000.000
TL"
14.24,85 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Cerrahpaşa Mahallesi","1.500.000
TL"
